"";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj"
"A1BG";92,5453140211138;-0,141616420926325;0,163515732153141;-0,866072145239785;0,386450599327384;0,619724107847242
"A1CF";55,8568800183137;-0,259258111759504;0,299921714709954;-0,864419276911061;0,387357607070535;0,620571130815349
"A2BP1";1,45310855284515;0,511894147893819;0,368430381735703;1,3893917908785;0,164713645190789;0,392144257674464
"A2LD1";132,670874009491;0,0662628031590451;0,128952289680022;0,513855188794764;0,607353239250899;0,785562229191521
"A2ML1";214,625280887201;-0,134741571600702;0,62191351488823;-0,21665644559102;0,828476093115725;0,91614484534222
"A2M";17330,2615151645;0,281207878211607;0,133825121330121;2,10130859898808;0,0356138854049109;0,175309200858101
"A4GALT";680,43083628806;0,00698427792198689;0,188371373654365;0,0370771725368529;0,9704234731875;0,985851335372576
"A4GNT";101,668375060311;-0,461717853503207;0,403730978415728;-1,14362750987062;0,252778147836167;0,493345849020657
"AAA1";2,09449373193122;-0,946555621393869;0,376588909422273;-2,51349840027415;0,0119540320078691;0,101561365762282
"AAAS";655,522326371538;-0,147714402984942;0,0673654545430167;-2,19273222435719;0,0283266775889019;0,156819271936102
"AACSL";0,783698687606319;-0,0802008669438983;0,453651531034411;-0,176789587287461;0,859673668364386;0,932874834633641
"AACS";928,078646053143;-0,114540836382768;0,088074599258011;-1,30049795681983;0,193430356088668;0,425887484238796
"AADACL2";0,193802966356252;-0,193347790343066;1,29334453437716;-0,14949441947128;0,88116351250531;NA
"AADACL4";0,2451193750994;0,466397620481236;0,81161425715071;0,574654297127052;0,565525122509695;NA
"AADAC";262,648526150313;0,0942325977488684;0,335886476383066;0,280548948453047;0,779056377113914;0,890719583166951
"AADAT";69,3426418241394;-0,108442616424859;0,117135605849314;-0,925786959811029;0,354556705300483;0,592957014340111
"AAGAB";1068,85982084959;-0,133703710713807;0,0714974555466259;-1,87004851699392;0,0614770807734478;0,231035869767994
"AAK1";934,310441574963;0,281994201610825;0,0819327834814257;3,44177494805549;0,000577910832985587;0,0217865129924692
"AAMP";2885,61642802566;-0,169991901670201;0,0700383725940268;-2,4271252368405;0,0152190012810753;0,11451585418433
"AANAT";0,92298926640597;0,495233606598008;0,407851562924737;1,21424962318802;0,224652416355838;0,46244420181999
"AARS2";401,98362448988;-0,0551908400362099;0,0640624767196347;-0,861515864860317;0,38895398721766;0,622077824590595
"AARSD1";560,851217564697;-0,0930560060102123;0,0915425916377872;-1,01653235226738;0,309375949464974;0,549847831172386
"AARS";3049,99039915443;-0,0462234299642092;0,0741241593425753;-0,623594660285874;0,532893818265212;0,732386751124876
"AASDHPPT";613,582605548962;0,13515557510008;0,0673749050901132;2,00602249337956;0,0448538481885336;0,197794453468582
"AASDH";195,78168763874;0,15603238190123;0,0787191319213031;1,98214053042681;0,0474635143966396;0,203229828663453
"AASS";322,174126476545;0,154649086513514;0,110471057936949;1,39990590659301;0,161541497058175;0,38842213256809
"AATF";1340,35776636928;-0,154339578160688;0,0830866035498912;-1,85757476616567;0,0632294246853266;0,234733051674822
"AATK";392,262506942405;0,0224793442421485;0,225104527273486;0,099861804266769;0,920454040500412;0,961489688763046
"ABAT";763,345619941848;0,432641444028573;0,211708077663282;2,04357551588883;0,04099550011112;0,188726216038256
"ABCA10";64,0373216467162;0,164293909550284;0,20428555319543;0,804236555059336;0,42126037096808;0,650354974891164
"ABCA11P";84,2219674272852;0,085500834440814;0,0901416973411285;0,948515913975396;0,342866875169582;0,581745186678283
"ABCA12";77,5204068379669;-0,245807854512106;0,289324712388786;-0,849591631778058;0,395552166035318;0,628741714144015
"ABCA13";55,8158108386088;-0,0882950500385965;0,269371543183222;-0,327781654272737;0,743076759455044;0,870629715588867
"ABCA17P";5,71136934318555;0,327541234555005;0,24167394501971;1,35530222146327;0,175321287538143;0,404847707455161
"ABCA1";894,927747808122;0,514503402799391;0,162331204522059;3,1694670431;0,00152718776546751;0,0367422210063079
"ABCA2";1605,32287093759;-0,0547211818108907;0,100503643802131;-0,544469630560104;0,586118341394262;0,769814323026574
"ABCA3";592,651280839873;0,315473988734765;0,150925360340928;2,09026493640391;0,0365940071748419;0,178463872609107
"ABCA4";9,56746877377014;0,577590915132027;0,304180368147561;1,89884350081341;0,0575850557381324;0,224094608414097
"ABCA5";414,012549438055;-0,00374996510633592;0,141314603889522;-0,0265362885584535;0,978829589698259;0,990816155845558
"ABCA6";196,434820498026;0,407130754114882;0,222111171941037;1,8330043939571;0,0668019176483016;0,241575467794982
"ABCA7";790,68101730831;-0,280239917323456;0,162982725780826;-1,71944551780484;0,0855332800784303;0,275184736120927
"ABCA8";352,447579546953;0,680240897878796;0,284388000909451;2,39194655085108;0,0167592827998968;0,120128192543413
"ABCA9";159,951387417022;0,495972694757996;0,234750790677333;2,11276261658993;0,0346210908463748;0,173523638376097
"ABCB10";453,228985888231;0,0495246005436245;0,0836422549639332;0,592100255606208;0,553783455781476;0,747447971925864
"ABCB11";5,82519096387818;0,43844251517851;0,31614980762656;1,38681885802823;0,165497005238404;0,392767839659954
"ABCB1";448,271731050677;0,368140185971017;0,247805370439032;1,48560212927908;0,13738439151494;0,355699243548738
"ABCB4";59,2415429530119;-0,155162818684465;0,219521494932626;-0,706822895553286;0,479676544470861;0,695092735545585
"ABCB5";8,91919970805233;0,33807459594725;0,28591695328825;1,18242235047327;0,237038159121638;0,47592508382974
"ABCB6";425,5393872301;-0,316494203574606;0,0994451770481287;-3,1825998300695;0,00145959189063192;0,0356393575463241
"ABCB7";376,35719046242;-0,0502732330509609;0,0504238755228562;-0,997012477316881;0,318758453575322;0,559967330935974
"ABCB8";723,274267395749;-0,0627401264715241;0,0880890890169039;-0,712234933653186;0,476319308018346;0,693021829944372
"ABCB9";185,655920120143;-0,374256227338751;0,117771247567152;-3,17782340825892;0,00148385097861633;0,0359395089175623
"ABCC10";620,479896706769;0,00668476288099216;0,0784532674361109;0,0852069403793278;0,932096873025339;0,968147193032256
"ABCC11";5,39349547200337;0,491645098613932;0,350449635212546;1,40289801790135;0,160647252030834;0,387682936354532
"ABCC12";0,4898600714933;0,544797324479745;1,12199102621781;0,485562996271223;0,627277037702623;NA
"ABCC13";2,07243346825913;0,687321886274459;0,587191328353359;1,1705245855757;0,241789926179347;0,481079372108855
"ABCC1";1691,57751342497;0,100909792236382;0,0870280226312308;1,15950919238936;0,246248691763759;0,486109381910709
"ABCC2";19,2594413995223;-0,569156918690987;0,280686625244597;-2,02773081259219;0,0425877290750814;0,192917921040287
"ABCC3";5996,10021107683;-0,452751324657338;0,165961981381266;-2,7280424160352;0,00637114151052188;0,0746542742808492
"ABCC4";346,060667717085;0,176296984907536;0,146527649626945;1,20316530945787;0,228912356327272;0,467475142907688
"ABCC5";850,153495843641;0,182479676463791;0,100224301755682;1,82071287369628;0,0686505142217897;0,245564478844941
"ABCC6P1";12,5071763049338;-0,129460174790005;0,268591091531724;-0,481997277168496;0,629807880519858;0,800527646259388
"ABCC6P2";26,8896606745901;-0,319740299667861;0,174351667989453;-1,83388150715715;0,0666715852291545;0,241454456870678
"ABCC6";132,126329154753;0,0397457688266791;0,226093153909763;0,175793774111985;0,860455961007246;0,933555085637339
"ABCC8";1126,37560578492;0,0524103449630454;0,401372403749932;0,130577848584973;0,896109266936193;0,9499875861978
"ABCC9";433,654171406044;0,434479042332598;0,230637797456513;1,88381543322065;0,0595899452382238;0,227550500782537
"ABCD1";490,249957000268;-0,0155501040781331;0,108341585452421;-0,143528489205672;0,885872813039413;0,946243129176955
"ABCD2";17,5413982760223;1,14666664935432;0,285894644168144;4,0108014359301;6,05129874497421e-05;0,00701267731621572
"ABCD3";1222,01589977958;-0,0545759999354666;0,0971450717526483;-0,561798956455851;0,574253003181698;0,7610636270212
"ABCD4";770,196841951491;-0,0853772577747227;0,0750644780468519;-1,13738561828717;0,255377116761142;0,496115436451879
"ABCE1";1264,28570084333;0,0338481559021159;0,0755451827024217;0,448051810734861;0,654115805144287;0,81668339281569
"ABCF1";1750,99030067068;-0,0228934287902554;0,0668341707690601;-0,34254077707288;0,731943962227882;0,864496965284554
"ABCF2";1144,24017276146;0,0191664446219248;0,0593765771564626;0,322794703565001;0,746850724419319;0,872609093823259
"ABCF3";1129,31083525997;0,0372397066500262;0,0500389021193735;0,74421510210569;0,456746352977925;0,676978272520855
"ABCG1";893,778276973585;-0,0459122598974727;0,13247480524608;-0,346573522506322;0,728911740396623;0,863273082432624
"ABCG2";89,874752406327;0,32301545471784;0,198080924944115;1,63072468895716;0,102948424653255;0,30471922014646
"ABCG4";5,30502899924674;0,129548698505283;0,181747436450982;0,712795190045073;0,475972502448369;0,692757006228867
"ABCG5";7,37235362793613;0,631708278665379;0,355165822217666;1,77862913362827;0,0753005844649887;0,257452095069153
"ABCG8";6,25766643623311;0,257421512171906;0,436088305121995;0,5902967567541;0,554991713363851;0,74846210708102
"ABHD10";494,463194730551;-0,028688476617868;0,0592138624998618;-0,484489195717218;0,628038730261045;0,799184938867596
"ABHD11";888,868959592936;-0,214153543231389;0,144646276905314;-1,48053270234929;0,138731140099331;0,35784929066561
"ABHD12B";1,74817847382746;-0,393523858710074;0,312501262026482;-1,25927126232446;0,207932369473164;0,442585155397576
"ABHD12";1708,2765568745;-0,101412940671209;0,0949229592018106;-1,06837104030439;0,285353174888587;0,52534370775361
"ABHD13";509,762294891585;0,0719040103793196;0,0626951451540126;1,14688322680624;0,251429885825205;0,491566295168731
"ABHD14A";332,997759544965;-0,124631952662596;0,11939794312876;-1,04383668090656;0,296560957548724;0,537358316242131
"ABHD14B";1770,93633451804;-0,186254396961869;0,101565311715089;-1,8338386779568;0,0666779444594627;0,241454456870678
"ABHD15";453,601541367876;0,0491724056210955;0,0719922288531124;0,683023798602252;0,494591804499402;0,704716084215959
"ABHD1";5,70052374396176;0,176268554966919;0,190779943089146;0,923936510897026;0,35551937229972;0,593960605306968
"ABHD2";11474,7078307995;0,0582263392139151;0,169482790483283;0,343553106766072;0,731182395657884;0,864220567345866
"ABHD3";684,56666179136;-0,298635234271888;0,146049541884736;-2,04475296819195;0,0408792186751429;0,188454094449882
"ABHD4";1136,20648470222;-0,0424061488017954;0,0764148234218061;-0,554946630808992;0,578931165275092;0,764666099703669
"ABHD5";514,51735753641;0,11725360368906;0,0748263509268193;1,56700951251431;0,117112468153881;0,325523164604804
"ABHD6";189,448762503327;0,113220530780334;0,106549107455527;1,06261360122225;0,287957216394302;0,52803389024375
"ABHD8";270,764510428374;-0,112669889572283;0,109666095332107;-1,02739036373164;0,304236687162907;0,545127284744515
"ABI1";1652,86972214356;0,0505408855206594;0,0647646821872973;0,780377264486481;0,435168846174297;0,66130398111493
"ABI2";1140,95865808014;0,0322678663279256;0,0704941178811818;0,457738422691001;0,647140380074653;0,811480755750994
"ABI3BP";919,315535405791;0,486416873695989;0,225305006843542;2,15892616196395;0,0308558958245678;0,163331411081633
"ABI3";334,295798590013;0,22990501694912;0,143731803402053;1,59954172637784;0,109700284862043;0,315379568157946
"ABL1";2311,94342272706;0,262654846743607;0,0894199597254923;2,93731788238244;0,00331064557920323;0,0540378925156179
"ABL2";1085,95704398025;0,202159791853202;0,105858302911506;1,90972069543;0,0561691848648316;0,221820887851034
"ABLIM1";4332,39349155881;0,0525125944562704;0,117527473017771;0,446811227263691;0,655011364232816;0,817290180271108
"ABLIM2";359,472489426979;-0,279665858882194;0,17817494667779;-1,56961382111673;0,116504981124044;0,324385006158109
"ABLIM3";1300,54831278934;-0,430833818455061;0,153594367331743;-2,80501053482331;0,00503149352362349;0,0664981906351945
"ABO";168,818086734585;0,238158540775879;0,302915034254818;0,786222253252492;0,431737291164483;0,658031462977585
